fonte,operadora,timestamp,latitude,longitude,geracao,FreqDL,FreqUL,larguraCanal,potencia,FreqDL_cel2,FreqUL_cel2,larguraCanal_cel2,potencia_cel2
RafaelSDR,-,'2026.04.23_20.14.28',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.7665056606851,882.8,837.8,5.0,-58.7665056606851
RafaelSDR,-,'2026.04.23_20.14.29',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.06764769950546,882.8,837.8,5.0,-58.06764769950546
RafaelSDR,-,'2026.04.23_20.14.30',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.52719690852291,882.8,837.8,5.0,-58.52719690852291
RafaelSDR,-,'2026.04.23_20.14.31',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.88324206541546,882.8,837.8,5.0,-58.88324206541546
RafaelSDR,-,'2026.04.23_20.14.32',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.678224421046274,882.8,837.8,5.0,-58.678224421046274
RafaelSDR,-,'2026.04.23_20.14.33',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.88515900153345,882.8,837.8,5.0,-58.88515900153345
RafaelSDR,-,'2026.04.23_20.14.34',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.82440701258631,882.8,837.8,5.0,-58.82440701258631
RafaelSDR,-,'2026.04.23_20.14.35',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-56.76390752165635,882.8,837.8,5.0,-56.76390752165635
RafaelSDR,-,'2026.04.23_20.14.36',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-57.57798735653099,882.8,837.8,5.0,-57.57798735653099
RafaelSDR,-,'2026.04.23_20.14.37',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-59.11001475482415,882.8,837.8,5.0,-59.11001475482415
RafaelSDR,-,'2026.04.23_20.14.38',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-59.1824042025237,882.8,837.8,5.0,-59.1824042025237
RafaelSDR,-,'2026.04.23_20.14.39',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-57.51529595252947,882.8,837.8,5.0,-57.51529595252947
RafaelSDR,-,'2026.04.23_20.14.40',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-57.05900212879406,882.8,837.8,5.0,-57.05900212879406
RafaelSDR,-,'2026.04.23_20.14.41',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.10802482003026,882.8,837.8,5.0,-58.10802482003026
RafaelSDR,-,'2026.04.23_20.14.42',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.10300714501759,882.8,837.8,5.0,-58.10300714501759
RafaelSDR,-,'2026.04.23_20.14.43',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.43106448801262,882.8,837.8,5.0,-58.43106448801262
RafaelSDR,-,'2026.04.23_20.14.44',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-59.0311085900838,882.8,837.8,5.0,-59.0311085900838
RafaelSDR,-,'2026.04.23_20.14.45',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-59.28482999574479,882.8,837.8,5.0,-59.28482999574479
RafaelSDR,-,'2026.04.23_20.14.46',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-57.84456295479585,882.8,837.8,5.0,-57.84456295479585
RafaelSDR,-,'2026.04.23_20.14.47',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.47897959143623,882.8,837.8,5.0,-58.47897959143623
RafaelSDR,-,'2026.04.23_20.14.48',-22.9068,-43.1729,HSPA,882.8,837.8,5.0,-58.520696709264115,882.8,837.8,5.0,-58.520696709264115
